[Sun Apr 21 16:44:22.464508 2019] [mpm_winnt:notice] [pid 2020:tid 816] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Sun Apr 21 16:44:22.464508 2019] [mpm_winnt:notice] [pid 2020:tid 816] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Sun Apr 21 16:44:22.464508 2019] [core:notice] [pid 2020:tid 816] AH00094: Command line: 'C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2/apache2/bin/httpd_usbwv8.exe -d C:/Users/heart/Desktop/NYU Documents/NYUcshw/AppSecHw/AppSec/Lab2/apache2'
[Sun Apr 21 16:44:22.487456 2019] [mpm_winnt:notice] [pid 2020:tid 816] AH00418: Parent: Created child process 15264
[Sun Apr 21 16:44:23.323144 2019] [mpm_winnt:notice] [pid 15264:tid 612] AH00354: Child: Starting 64 worker threads.
[Sun Apr 21 16:59:28.382268 2019] [:error] [pid 15264:tid 1336] [client ::1:51200] PHP Parse error:  syntax error, unexpected 'Failed' (T_STRING) in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 18
[Sun Apr 21 17:01:11.407805 2019] [:error] [pid 15264:tid 1336] [client ::1:51286] PHP Notice:  Undefined variable: root in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 16
[Sun Apr 21 17:01:11.410840 2019] [:error] [pid 15264:tid 1336] [client ::1:51286] PHP Warning:  mysqli::mysqli(): (HY000/1045): Access denied for user ''@'localhost' (using password: YES) in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 16
[Sun Apr 21 17:01:11.410840 2019] [:error] [pid 15264:tid 1336] [client ::1:51286] PHP Warning:  main(): Couldn't fetch mysqli in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 20
[Sun Apr 21 17:04:05.886574 2019] [:error] [pid 15264:tid 1320] [client ::1:51444] PHP Notice:  Undefined variable: conn in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 23
[Sun Apr 21 17:04:05.886574 2019] [:error] [pid 15264:tid 1320] [client ::1:51444] PHP Fatal error:  Call to a member function query() on a non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 23
[Sun Apr 21 17:09:53.841303 2019] [:error] [pid 15264:tid 1336] [client ::1:51822] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 25
[Sun Apr 21 18:00:51.219198 2019] [:error] [pid 15264:tid 1336] [client ::1:54477] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 12
[Sun Apr 21 18:03:03.956630 2019] [:error] [pid 15264:tid 1336] [client ::1:54592] PHP Parse error:  syntax error, unexpected '$sql' (T_VARIABLE) in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 18
[Sun Apr 21 18:03:03.956630 2019] [:error] [pid 15264:tid 1320] [client ::1:54574] PHP Parse error:  syntax error, unexpected '$sql' (T_VARIABLE) in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 18
[Sun Apr 21 18:26:09.854045 2019] [:error] [pid 15264:tid 1336] [client ::1:56008] PHP Warning:  include(display_all.pjp): failed to open stream: No such file or directory in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 11
[Sun Apr 21 18:26:09.854045 2019] [:error] [pid 15264:tid 1336] [client ::1:56008] PHP Warning:  include(): Failed opening 'display_all.pjp' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\index.php on line 11
[Sun Apr 21 18:27:44.109666 2019] [:error] [pid 15264:tid 1320] [client ::1:56094] PHP Notice:  Undefined variable: mysqli in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 11, referer: http://localhost:8080/
